iter	Logloss
0	0.687964263
1	0.6834498933
2	0.6793064302
3	0.6757021314
4	0.6725928915
5	0.6698551366
6	0.6676481998
7	0.6654344739
8	0.6634534315
9	0.6617468948
10	0.6601531075
11	0.6589457623
12	0.6577029081
13	0.6568123265
14	0.6558105303
15	0.6549741658
16	0.6542254884
17	0.6535552172
18	0.6529733343
19	0.6523549244
20	0.6518272362
21	0.6514138759
22	0.6509457124
23	0.6505646134
24	0.6502963921
25	0.6499515741
26	0.6495458594
27	0.6492848214
28	0.6490861278
29	0.6487794664
30	0.6485214771
31	0.6482937882
32	0.6480807621
33	0.6478795152
34	0.6477072121
35	0.6474894216
36	0.64735182
37	0.6471269676
38	0.6469767
39	0.6468495243
40	0.6467421819
41	0.6466463495
42	0.6465130931
43	0.6463920112
44	0.6462732389
45	0.6461546958
46	0.646055461
47	0.6459528497
48	0.6458763338
49	0.6458186423
50	0.6457197962
51	0.6456070959
52	0.645500844
53	0.6454028268
54	0.6452986642
55	0.6451948516
56	0.6449984864
57	0.6449006958
58	0.6447648601
59	0.6445817115
60	0.6444758407
61	0.6444028499
62	0.6442655438
63	0.6441949966
64	0.6441442345
65	0.6440743847
66	0.6439983494
67	0.6438663731
68	0.6437000897
69	0.6436411432
70	0.6435227175
71	0.6434017755
72	0.6433477224
73	0.6432769112
74	0.643192801
75	0.6430096328
76	0.6429536738
77	0.6428218582
78	0.6426437395
79	0.6424829656
80	0.6424309377
81	0.6423079939
82	0.6421848149
83	0.6421058995
84	0.6419849744
85	0.6418811926
86	0.6417515676
87	0.6416809844
88	0.6416431361
89	0.641552705
90	0.6414548069
91	0.6413055705
92	0.6412639712
93	0.6411791499
94	0.6410178111
95	0.6408975501
96	0.6407109472
97	0.6405575568
98	0.6405046626
99	0.6403450817
