iter	Passed	Remaining
0	76	7583
1	161	7895
2	277	8984
3	375	9000
4	515	9801
5	598	9369
6	669	8900
7	739	8509
8	838	8476
9	961	8655
10	1165	9430
11	1244	9129
12	1334	8927
13	1393	8558
14	1466	8309
15	1526	8014
16	1584	7737
17	1644	7489
18	1707	7278
19	1766	7064
20	1829	6881
21	1991	7059
22	2076	6951
23	2154	6823
24	2226	6678
25	2301	6549
26	2366	6397
27	2424	6234
28	2477	6066
29	2534	5913
30	2595	5776
31	2655	5643
32	2713	5510
33	2767	5372
34	2824	5244
35	2886	5131
36	2937	5001
37	2993	4883
38	3048	4768
39	3097	4646
40	3155	4540
41	3209	4432
42	3266	4330
43	3316	4221
44	3373	4122
45	3425	4021
46	3472	3915
47	3519	3812
48	3569	3714
49	3615	3615
50	3670	3526
51	3725	3439
52	3780	3352
53	3833	3265
54	3885	3179
55	3931	3088
56	3994	3013
57	4068	2946
58	4131	2870
59	4189	2792
60	4240	2711
61	4301	2636
62	4365	2563
63	4413	2482
64	4464	2404
65	4511	2324
66	4557	2244
67	4612	2170
68	4661	2094
69	4707	2017
70	4760	1944
71	4813	1871
72	4863	1798
73	4914	1726
74	5077	1692
75	5151	1626
76	5217	1558
77	5319	1500
78	5379	1429
79	5430	1357
80	5481	1285
81	5538	1215
82	5593	1145
83	5650	1076
84	5704	1006
85	5848	952
86	5941	887
87	6020	820
88	6186	764
89	6249	694
90	6311	624
91	6367	553
92	6415	482
93	6475	413
94	6528	343
95	6582	274
96	6637	205
97	6689	136
98	6820	68
99	6877	0
